Mapa,Tamaño(V+E),Nodos(V),Aristas(E),Algoritmo,Expansiones,Relajaciones,OperacionesTotales,TiempoMs,Costo
mapa1.txt,97,31,66,A*,6,13,35,0.3450,3
mapa1.txt,97,31,66,Dijkstra,14,29,74,0.1542,3
mapa1.txt,97,31,66,Bellman-Ford,930,1980,2910,2.7278,3
mapa1deformado.txt,91,31,60,A*,14,27,71,0.1216,12
mapa1deformado.txt,91,31,60,Dijkstra,15,28,75,0.2307,12
mapa1deformado.txt,91,31,60,Bellman-Ford,930,1800,2730,1.3691,12
mapa2.txt,215,67,148,A*,14,33,82,0.0612,8
mapa2.txt,215,67,148,Dijkstra,38,85,205,0.1692,8
mapa2.txt,215,67,148,Bellman-Ford,4422,9768,14190,7.8435,8
mapa3.txt,460,140,320,A*,43,104,249,0.1917,16
mapa3.txt,460,140,320,Dijkstra,103,237,554,0.4374,16
mapa3.txt,460,140,320,Bellman-Ford,19460,44480,63940,19.4849,16
mapa4.txt,832,246,586,A*,52,128,301,0.1295,15
mapa4.txt,832,246,586,Dijkstra,120,289,661,0.3073,15
mapa4.txt,832,246,586,Bellman-Ford,60270,143570,203840,33.3319,15
mapa4deformado.txt,570,190,380,A*,113,225,567,0.2231,80
mapa4deformado.txt,570,190,380,Dijkstra,119,238,598,0.2441,80
mapa4deformado.txt,570,190,380,Bellman-Ford,35910,71820,107730,21.6039,80
mapa5.txt,1156,340,816,A*,61,155,366,0.1570,20
mapa5.txt,1156,340,816,Dijkstra,205,499,1129,0.5199,20
mapa5.txt,1156,340,816,Bellman-Ford,115260,276624,391884,65.8989,20
mapa6.txt,2093,605,1488,A*,51,132,313,0.1197,20
mapa6.txt,2093,605,1488,Dijkstra,267,667,1495,0.5092,20
mapa6.txt,2093,605,1488,Bellman-Ford,365420,898752,1264172,184.5520,20
mapa7.txt,2764,812,1952,A*,66,164,390,0.6420,24
mapa7.txt,2764,812,1952,Dijkstra,332,803,1827,1.0005,24
mapa7.txt,2764,812,1952,Bellman-Ford,658532,1583072,2241604,317.3625,24
mapa7deformado.txt,1818,550,1268,A*,224,521,1204,0.8126,82
mapa7deformado.txt,1818,550,1268,Dijkstra,284,662,1519,0.8588,82
mapa7deformado.txt,1818,550,1268,Bellman-Ford,301950,696132,998082,164.4823,82
mapa8.txt,3670,1060,2610,A*,84,215,500,0.2350,27
mapa8.txt,3670,1060,2610,Dijkstra,491,1221,2725,2.5169,27
mapa8.txt,3670,1060,2610,Bellman-Ford,1122540,2763990,3886530,562.3348,27
mapa8deformado.txt,2592,844,1748,A*,311,658,1607,0.7566,93
mapa8deformado.txt,2592,844,1748,Dijkstra,501,1052,2565,0.8507,93
mapa8deformado.txt,2592,844,1748,Bellman-Ford,711492,1473564,2185056,301.1287,93
mapa9.txt,5933,1645,4288,A*,145,390,884,0.3814,38
mapa9.txt,5933,1645,4288,Dijkstra,925,2437,5252,2.5166,38
mapa9.txt,5933,1645,4288,Bellman-Ford,2704380,7049472,9753852,1612.7882,38
